Country,FormalEducation,MajorUndergrad,HomeRemote,CompanySize,CompanyType,YearsCodedJob,DeveloperType,Gender,Race
United States,Some college/university study without earning a bachelor's degree,Computer science or software engineering,All or almost all the time (I'm full-time remote),Fewer than 10 employees,I don't know,2 to 3 years,Web developer,Female,White or of European descent
Russian Federation,Bachelor's degree,Computer science or software engineering,Never,"1,000 to 4,999 employees",I don't know,2 to 3 years,Developer with a statistics or mathematics background; DevOps specialist,Male,White or of European descent
South Africa,Bachelor's degree,A natural science,Never,20 to 99 employees,"Sole proprietorship or partnership, not in startup mode",1 to 2 years,Mobile developer,Male,White or of European descent
Canada,Bachelor's degree,Psychology,A few days each month,20 to 99 employees,I don't know,Less than a year,Mobile developer,Female,White or of European descent
Turkey,Master's degree,Computer science or software engineering,Never,"1,000 to 4,999 employees",Government agency or public school/university,11 to 12 years,Embedded applications/devices developer; Desktop applications developer,,
India,Bachelor's degree,Computer science or software engineering,Never,"10,000 or more employees","Privately-held limited company, not in startup mode",1 to 2 years,Web developer; Other,Male,
Pakistan,Master's degree,Computer science or software engineering,"More than half, but not all, the time",20 to 99 employees,Non-profit/non-governmental organization or private school/university,2 to 3 years,Web developer; Mobile developer; Quality assurance engineer,Male,South Asian
France,Bachelor's degree,Computer science or software engineering,Never,100 to 499 employees,"Privately-held limited company, not in startup mode",2 to 3 years,Web developer; DevOps specialist,Male,White or of European descent
United States,Some college/university study without earning a bachelor's degree,Computer engineering or electrical/electronics engineering,A few days each month,20 to 99 employees,"Sole proprietorship or partnership, not in startup mode",15 to 16 years,Web developer,Male,White or of European descent
Israel,Bachelor's degree,Computer science or software engineering,A few days each month,20 to 99 employees,Non-profit/non-governmental organization or private school/university,14 to 15 years,Web developer; Desktop applications developer,Male,Middle Eastern; White or of European descent
Russian Federation,Master's degree,"Information technology, networking, or system administration",Never,"10,000 or more employees",Publicly-traded corporation,14 to 15 years,Web developer; Embedded applications/devices developer; Desktop applications developer,Male,White or of European descent
Switzerland,Some college/university study without earning a bachelor's degree,Computer science or software engineering,A few days each month,100 to 499 employees,I don't know,9 to 10 years,Web developer; Database administrator; Systems administrator; DevOps specialist; Other,Male,
Netherlands,Master's degree,Computer engineering or electrical/electronics engineering,Never,"1,000 to 4,999 employees",Publicly-traded corporation,14 to 15 years,Embedded applications/devices developer,Male,White or of European descent
United Kingdom,Bachelor's degree,Computer science or software engineering,Never,500 to 999 employees,Publicly-traded corporation,4 to 5 years,Web developer; Mobile developer; Database administrator,Female,White or of European descent
United States,Doctoral degree,Computer engineering or electrical/electronics engineering,Never,100 to 499 employees,Venture-funded startup,6 to 7 years,Machine learning specialist; Developer with a statistics or mathematics background; Data scientist,Male,White or of European descent
Sweden,Master's degree,Computer science or software engineering,A few days each month,10 to 19 employees,"Privately-held limited company, not in startup mode",4 to 5 years,Web developer,Male,White or of European descent
France,Master's degree,Computer science or software engineering,About half the time,100 to 499 employees,Venture-funded startup,18 to 19 years,Other,Male,White or of European descent
United Kingdom,Doctoral degree,Mathematics or statistics,It's complicated,100 to 499 employees,"Privately-held limited company, not in startup mode",4 to 5 years,Other,Male,East Asian; South Asian
Germany,Some college/university study without earning a bachelor's degree,Computer science or software engineering,Never,20 to 99 employees,"Privately-held limited company, not in startup mode",6 to 7 years,Desktop applications developer,Male,White or of European descent
Canada,Bachelor's degree,Fine arts or performing arts,"Less than half the time, but at least one day each week",20 to 99 employees,Pre-series A startup,10 to 11 years,Web developer; Mobile developer; Developer with a statistics or mathematics background; Data scientist,Male,Hispanic or Latino/Latina; White or of European descent
United States,Bachelor's degree,Something else,A few days each month,"10,000 or more employees",Publicly-traded corporation,10 to 11 years,Web developer; Database administrator; Systems administrator; DevOps specialist; Other,Gender non-conforming,White or of European descent
Spain,Bachelor's degree,A non-computer-focused engineering discipline,All or almost all the time (I'm full-time remote),Fewer than 10 employees,Pre-series A startup,13 to 14 years,Web developer; DevOps specialist,Male,White or of European descent
Australia,Bachelor's degree,Management information systems,Never,10 to 19 employees,"Privately-held limited company, not in startup mode",5 to 6 years,Web developer,Male,White or of European descent
France,Master's degree,Computer science or software engineering,Never,"10,000 or more employees",I prefer not to answer,1 to 2 years,Web developer; Mobile developer; Desktop applications developer; DevOps specialist,Male,White or of European descent
United States,Some college/university study without earning a bachelor's degree,Mathematics or statistics,About half the time,"1,000 to 4,999 employees",Publicly-traded corporation,4 to 5 years,Web developer; Developer with a statistics or mathematics background,Male,White or of European descent
United States,Doctoral degree,A non-computer-focused engineering discipline,Never,"1,000 to 4,999 employees",Publicly-traded corporation,12 to 13 years,Developer with a statistics or mathematics background; Desktop applications developer,Male,South Asian
New Zealand,Master's degree,Computer science or software engineering,A few days each month,"1,000 to 4,999 employees","Privately-held limited company, not in startup mode",6 to 7 years,Web developer,,
New Zealand,Master's degree,Computer science or software engineering,Never,20 to 99 employees,Venture-funded startup,11 to 12 years,Web developer,Male,White or of European descent
United States,Bachelor's degree,Computer science or software engineering,"Less than half the time, but at least one day each week",20 to 99 employees,Venture-funded startup,8 to 9 years,Mobile developer,Male,White or of European descent
United States,Secondary school,,Never,I don't know,Publicly-traded corporation,3 to 4 years,Web developer,,
Netherlands,Secondary school,,All or almost all the time (I'm full-time remote),"10,000 or more employees","Privately-held limited company, not in startup mode",20 or more years,Web developer; Systems administrator; DevOps specialist; Other,Male,White or of European descent
Brazil,Bachelor's degree,Computer science or software engineering,A few days each month,"10,000 or more employees",Publicly-traded corporation,15 to 16 years,Web developer; Desktop applications developer; Database administrator; Systems administrator,Male,Black or of African descent; Hispanic or Latino/Latina
United States,Bachelor's degree,Computer science or software engineering,Never,"10,000 or more employees",Publicly-traded corporation,6 to 7 years,Embedded applications/devices developer; Desktop applications developer; Systems administrator,Male,Middle Eastern; White or of European descent
Australia,Doctoral degree,A non-computer-focused engineering discipline,A few days each month,100 to 499 employees,Publicly-traded corporation,14 to 15 years,Developer with a statistics or mathematics background,Male,White or of European descent
United States,Some college/university study without earning a bachelor's degree,Computer science or software engineering,Never,"10,000 or more employees",Publicly-traded corporation,Less than a year,Desktop applications developer,Male,Black or of African descent; White or of European descent
United Kingdom,Some college/university study without earning a bachelor's degree,"Information technology, networking, or system administration",Never,10 to 19 employees,"Privately-held limited company, not in startup mode",4 to 5 years,Web developer; Database administrator,Male,White or of European descent
United States,Some college/university study without earning a bachelor's degree,Computer science or software engineering,"Less than half the time, but at least one day each week","5,000 to 9,999 employees",Something else,5 to 6 years,Web developer,Male,White or of European descent
New Zealand,Bachelor's degree,Computer programming or Web development,Never,Fewer than 10 employees,"Privately-held limited company, not in startup mode",4 to 5 years,Web developer,Male,Black or of African descent
South Korea,Bachelor's degree,Computer science or software engineering,Never,100 to 499 employees,"Privately-held limited company, not in startup mode",1 to 2 years,Web developer; Machine learning specialist,Male,East Asian
Mauritius,Bachelor's degree,Computer science or software engineering,A few days each month,500 to 999 employees,I don't know,4 to 5 years,Web developer; Mobile developer; Desktop applications developer,Male,Black or of African descent; South Asian
Australia,Some college/university study without earning a bachelor's degree,Computer science or software engineering,Never,Fewer than 10 employees,"Privately-held limited company, not in startup mode",17 to 18 years,Web developer; Database administrator; DevOps specialist,Male,White or of European descent
Australia,Bachelor's degree,Fine arts or performing arts,Never,"1,000 to 4,999 employees",Non-profit/non-governmental organization or private school/university,16 to 17 years,Web developer,Male,White or of European descent
United States,Bachelor's degree,A non-computer-focused engineering discipline,A few days each month,100 to 499 employees,Non-profit/non-governmental organization or private school/university,20 or more years,Other,,
United States,Bachelor's degree,Computer science or software engineering,Never,"10,000 or more employees",Government agency or public school/university,7 to 8 years,Developer with a statistics or mathematics background; Desktop applications developer,Gender non-conforming,White or of European descent
United States,Some college/university study without earning a bachelor's degree,Computer science or software engineering,A few days each month,100 to 499 employees,Publicly-traded corporation,4 to 5 years,Web developer; Mobile developer; Graphics programming; Developer with a statistics or mathematics background; Desktop applications developer,Male,White or of European descent
China,Bachelor's degree,Computer science or software engineering,"Less than half the time, but at least one day each week",20 to 99 employees,"Privately-held limited company, not in startup mode",5 to 6 years,Web developer; Mobile developer; Graphics programming; Systems administrator,Male,East Asian
India,Professional degree,Computer science or software engineering,A few days each month,"1,000 to 4,999 employees","Privately-held limited company, not in startup mode",10 to 11 years,Web developer; Desktop applications developer,Male,South Asian
North Korea,Master's degree,Computer science or software engineering,Never,100 to 499 employees,"Privately-held limited company, not in startup mode",6 to 7 years,Web developer; Mobile developer; Desktop applications developer,,
United States,Bachelor's degree,"Information technology, networking, or system administration",Never,"1,000 to 4,999 employees",Publicly-traded corporation,1 to 2 years,Web developer,Male,White or of European descent
Australia,Bachelor's degree,A non-computer-focused engineering discipline,Never,100 to 499 employees,Publicly-traded corporation,3 to 4 years,Desktop applications developer; Database administrator; Systems administrator,Male,White or of European descent
India,Bachelor's degree,Computer engineering or electrical/electronics engineering,A few days each month,"1,000 to 4,999 employees",Publicly-traded corporation,12 to 13 years,Embedded applications/devices developer; Desktop applications developer,Male,South Asian
United States,Some college/university study without earning a bachelor's degree,Computer programming or Web development,A few days each month,500 to 999 employees,"Privately-held limited company, not in startup mode",8 to 9 years,Other,Male,White or of European descent
Russian Federation,Doctoral degree,"Information technology, networking, or system administration","Less than half the time, but at least one day each week","10,000 or more employees",Publicly-traded corporation,13 to 14 years,Desktop applications developer,Male,White or of European descent
Germany,Bachelor's degree,A non-computer-focused engineering discipline,Never,"1,000 to 4,999 employees","Privately-held limited company, not in startup mode",14 to 15 years,Graphics programming; Machine learning specialist; Developer with a statistics or mathematics background; Desktop applications developer,,
Canada,Some college/university study without earning a bachelor's degree,A business discipline,Never,10 to 19 employees,Pre-series A startup,3 to 4 years,Web developer,Male,East Asian; White or of European descent
Australia,Bachelor's degree,Computer science or software engineering,Never,"10,000 or more employees",Publicly-traded corporation,20 or more years,Embedded applications/devices developer,,
Turkey,Bachelor's degree,Computer science or software engineering,Never,"1,000 to 4,999 employees","Privately-held limited company, not in startup mode",1 to 2 years,Mobile developer; Embedded applications/devices developer,Male,I don’t know
India,Bachelor's degree,Computer programming or Web development,A few days each month,Fewer than 10 employees,"Sole proprietorship or partnership, not in startup mode",Less than a year,Web developer,Male,South Asian
Australia,Bachelor's degree,Computer science or software engineering,Never,"5,000 to 9,999 employees",Government agency or public school/university,6 to 7 years,Web developer; Desktop applications developer,Male,Middle Eastern
Denmark,Master's degree,Computer science or software engineering,A few days each month,"1,000 to 4,999 employees","Privately-held limited company, not in startup mode",14 to 15 years,Web developer; Desktop applications developer,,
Hong Kong,Bachelor's degree,Computer science or software engineering,"Less than half the time, but at least one day each week","10,000 or more employees",Government agency or public school/university,3 to 4 years,Web developer; Mobile developer; Embedded applications/devices developer; Graphics programming; Database administrator; Systems administrator; DevOps specialist,Gender non-conforming,"East Asian; Native American, Pacific Islander, or Indigenous Australian"
India,Bachelor's degree,Computer science or software engineering,A few days each month,100 to 499 employees,Publicly-traded corporation,4 to 5 years,Web developer; DevOps specialist,,
Finland,Bachelor's degree,Computer science or software engineering,A few days each month,"1,000 to 4,999 employees","Privately-held limited company, not in startup mode",10 to 11 years,Web developer,Male,White or of European descent
Poland,I prefer not to answer,,Never,I prefer not to answer,I don't know,13 to 14 years,Embedded applications/devices developer; Desktop applications developer,Male,White or of European descent
Hong Kong,Bachelor's degree,Computer programming or Web development,Never,Fewer than 10 employees,"Privately-held limited company, not in startup mode",1 to 2 years,Web developer; Mobile developer,Male,East Asian
India,Master's degree,Computer science or software engineering,It's complicated,Fewer than 10 employees,Something else,Less than a year,Web developer,Female,
India,Professional degree,Computer science or software engineering,Never,100 to 499 employees,"Privately-held limited company, not in startup mode",6 to 7 years,Web developer,Male,
Poland,Bachelor's degree,Computer science or software engineering,A few days each month,100 to 499 employees,"Privately-held limited company, not in startup mode",9 to 10 years,Web developer; Database administrator; DevOps specialist,Male,White or of European descent
Germany,Secondary school,,Never,Fewer than 10 employees,"Privately-held limited company, not in startup mode",4 to 5 years,Desktop applications developer,Male,White or of European descent
Bosnia-Herzegovina,Bachelor's degree,Computer science or software engineering,A few days each month,500 to 999 employees,"Privately-held limited company, not in startup mode",8 to 9 years,Web developer; Desktop applications developer,Male,White or of European descent
India,Bachelor's degree,Computer science or software engineering,A few days each month,"10,000 or more employees",Publicly-traded corporation,4 to 5 years,Web developer; Desktop applications developer,Male,East Asian
Hong Kong,Some college/university study without earning a bachelor's degree,"Information technology, networking, or system administration",A few days each month,"1,000 to 4,999 employees","Privately-held limited company, not in startup mode",2 to 3 years,Web developer; Mobile developer; Graphic designer; Desktop applications developer; Database administrator; Systems administrator,Male,South Asian
Switzerland,Secondary school,,A few days each month,20 to 99 employees,"Privately-held limited company, not in startup mode",8 to 9 years,Web developer; Desktop applications developer,Male,White or of European descent
Italy,Master's degree,A social science,Never,"1,000 to 4,999 employees","Privately-held limited company, not in startup mode",1 to 2 years,Web developer; Quality assurance engineer,Male,White or of European descent
Australia,Bachelor's degree,Computer science or software engineering,A few days each month,Fewer than 10 employees,"Privately-held limited company, not in startup mode",20 or more years,Web developer; Mobile developer; Desktop applications developer; Database administrator; DevOps specialist,Male,White or of European descent
Israel,Master's degree,Computer science or software engineering,A few days each month,"10,000 or more employees",Publicly-traded corporation,10 to 11 years,Web developer,Male,White or of European descent
Germany,Bachelor's degree,Computer science or software engineering,Never,"10,000 or more employees",Publicly-traded corporation,7 to 8 years,Desktop applications developer; Systems administrator,Male,White or of European descent
India,Master's degree,Computer science or software engineering,About half the time,20 to 99 employees,I don't know,1 to 2 years,Mobile developer,Male,I don’t know
Romania,Bachelor's degree,Computer science or software engineering,A few days each month,20 to 99 employees,"Privately-held limited company, not in startup mode",17 to 18 years,Web developer,Male,White or of European descent
Netherlands,Master's degree,A natural science,Never,20 to 99 employees,"Privately-held limited company, not in startup mode",1 to 2 years,Desktop applications developer,Male,White or of European descent
Germany,Master's degree,Mathematics or statistics,Never,10 to 19 employees,"Sole proprietorship or partnership, not in startup mode",16 to 17 years,Embedded applications/devices developer; Developer with a statistics or mathematics background,Male,White or of European descent
Denmark,Master's degree,Computer science or software engineering,Never,100 to 499 employees,"Privately-held limited company, not in startup mode",12 to 13 years,Web developer,Male,Middle Eastern
Spain,Secondary school,,Never,20 to 99 employees,"Sole proprietorship or partnership, not in startup mode",6 to 7 years,Web developer,Male,Hispanic or Latino/Latina; Middle Eastern
France,Master's degree,Computer engineering or electrical/electronics engineering,Never,"10,000 or more employees",Non-profit/non-governmental organization or private school/university,2 to 3 years,Web developer,Male,White or of European descent
United Kingdom,Master's degree,Computer engineering or electrical/electronics engineering,Never,"10,000 or more employees",Publicly-traded corporation,6 to 7 years,Web developer,Male,White or of European descent
Poland,I prefer not to answer,,A few days each month,20 to 99 employees,"Privately-held limited company, not in startup mode",14 to 15 years,Web developer; Graphic designer; Systems administrator,Male,White or of European descent
United Kingdom,Some college/university study without earning a bachelor's degree,Computer science or software engineering,Never,100 to 499 employees,Publicly-traded corporation,20 or more years,Web developer,Male,White or of European descent
Sweden,Some college/university study without earning a bachelor's degree,Computer science or software engineering,A few days each month,100 to 499 employees,I don't know,9 to 10 years,Web developer,Male; Female,White or of European descent
Israel,Bachelor's degree,Computer engineering or electrical/electronics engineering,A few days each month,"1,000 to 4,999 employees",Publicly-traded corporation,4 to 5 years,Embedded applications/devices developer,Female,Middle Eastern; White or of European descent
Poland,Bachelor's degree,Computer engineering or electrical/electronics engineering,A few days each month,10 to 19 employees,Venture-funded startup,3 to 4 years,Web developer; Mobile developer; Machine learning specialist; Developer with a statistics or mathematics background; Data scientist; Database administrator,Male,Middle Eastern
United Kingdom,Bachelor's degree,Computer science or software engineering,Never,"5,000 to 9,999 employees",State-owned company,4 to 5 years,Web developer,Male,White or of European descent
Croatia,Master's degree,Computer science or software engineering,A few days each month,10 to 19 employees,"Privately-held limited company, not in startup mode",8 to 9 years,Web developer; Desktop applications developer,Male,White or of European descent
United Kingdom,Bachelor's degree,Computer engineering or electrical/electronics engineering,Never,20 to 99 employees,Publicly-traded corporation,12 to 13 years,Web developer; Systems administrator,Male,White or of European descent
United Arab Emirates,Secondary school,,A few days each month,"10,000 or more employees","Privately-held limited company, not in startup mode",1 to 2 years,Web developer; Mobile developer; Desktop applications developer; Database administrator; Other,Male,South Asian
Spain,Master's degree,A non-computer-focused engineering discipline,A few days each month,100 to 499 employees,Venture-funded startup,2 to 3 years,Web developer,Male,White or of European descent
South Africa,Some college/university study without earning a bachelor's degree,Computer science or software engineering,Never,500 to 999 employees,"Privately-held limited company, not in startup mode",6 to 7 years,Web developer,Male,White or of European descent
Finland,Master's degree,Computer science or software engineering,A few days each month,100 to 499 employees,"Privately-held limited company, not in startup mode",20 or more years,Mobile developer; Developer with a statistics or mathematics background; Desktop applications developer; DevOps specialist,Male,White or of European descent
Slovenia,Some college/university study without earning a bachelor's degree,Computer science or software engineering,A few days each month,100 to 499 employees,Publicly-traded corporation,4 to 5 years,Web developer; Developer with a statistics or mathematics background,Male,White or of European descent
Germany,Master's degree,Computer science or software engineering,A few days each month,20 to 99 employees,"Privately-held limited company, not in startup mode",5 to 6 years,Web developer; Desktop applications developer,Male,White or of European descent
United Kingdom,Bachelor's degree,Computer science or software engineering,A few days each month,100 to 499 employees,"Privately-held limited company, not in startup mode",6 to 7 years,Web developer; Data scientist; Database administrator; Systems administrator,,
United Kingdom,Bachelor's degree,Computer science or software engineering,A few days each month,20 to 99 employees,I don't know,5 to 6 years,Web developer; Mobile developer; Desktop applications developer; Systems administrator,Male,White or of European descent
India,Bachelor's degree,Computer science or software engineering,Never,20 to 99 employees,"Privately-held limited company, not in startup mode",Less than a year,Web developer; Mobile developer,Male,East Asian
Portugal,Bachelor's degree,Computer science or software engineering,Never,100 to 499 employees,Venture-funded startup,1 to 2 years,Web developer; Mobile developer; Embedded applications/devices developer; Desktop applications developer,Male,White or of European descent
Russian Federation,Professional degree,Computer science or software engineering,A few days each month,"10,000 or more employees",Publicly-traded corporation,5 to 6 years,Developer with a statistics or mathematics background; Other,Male,White or of European descent
Poland,Secondary school,,A few days each month,"1,000 to 4,999 employees",Government agency or public school/university,5 to 6 years,Web developer,Male,White or of European descent
France,Master's degree,Computer programming or Web development,Never,100 to 499 employees,I don't know,3 to 4 years,Web developer,Male,White or of European descent
Spain,Master's degree,Computer science or software engineering,All or almost all the time (I'm full-time remote),20 to 99 employees,"Privately-held limited company, not in startup mode",13 to 14 years,Web developer; Mobile developer; Embedded applications/devices developer; Graphics programming; Desktop applications developer; Other,Male,White or of European descent
Russian Federation,Bachelor's degree,Mathematics or statistics,Never,100 to 499 employees,"Privately-held limited company, not in startup mode",20 or more years,Web developer,Male,White or of European descent
United Kingdom,Bachelor's degree,Computer science or software engineering,All or almost all the time (I'm full-time remote),10 to 19 employees,"Privately-held limited company, not in startup mode",5 to 6 years,Web developer,Male,White or of European descent
United Kingdom,Bachelor's degree,Computer science or software engineering,A few days each month,100 to 499 employees,"Privately-held limited company, not in startup mode",6 to 7 years,Web developer; Mobile developer,Male,South Asian
Italy,Bachelor's degree,A natural science,All or almost all the time (I'm full-time remote),100 to 499 employees,"Sole proprietorship or partnership, not in startup mode",19 to 20 years,Web developer,Male,White or of European descent
United Kingdom,Bachelor's degree,Something else,Never,100 to 499 employees,"Privately-held limited company, not in startup mode",2 to 3 years,Web developer; Graphics programming; Data scientist; Desktop applications developer,Male,White or of European descent
China,Bachelor's degree,A non-computer-focused engineering discipline,A few days each month,100 to 499 employees,"Privately-held limited company, not in startup mode",9 to 10 years,Web developer; Desktop applications developer,Male,East Asian
France,Master's degree,Computer science or software engineering,Never,"1,000 to 4,999 employees","Privately-held limited company, not in startup mode",15 to 16 years,Web developer; Desktop applications developer,Male,
Belgium,Master's degree,Computer science or software engineering,Never,"10,000 or more employees","Privately-held limited company, not in startup mode",,Developer with a statistics or mathematics background,Male,White or of European descent
Pakistan,Bachelor's degree,Something else,Never,20 to 99 employees,"Privately-held limited company, not in startup mode",2 to 3 years,Web developer; Mobile developer; Database administrator; Other,Male,
India,Bachelor's degree,Computer programming or Web development,"More than half, but not all, the time","5,000 to 9,999 employees","Privately-held limited company, not in startup mode",2 to 3 years,Web developer,,
Germany,Secondary school,,Never,20 to 99 employees,"Privately-held limited company, not in startup mode",6 to 7 years,Mobile developer; Desktop applications developer,Male,White or of European descent
India,Bachelor's degree,Computer engineering or electrical/electronics engineering,A few days each month,Fewer than 10 employees,"Privately-held limited company, not in startup mode",2 to 3 years,Web developer; Desktop applications developer,Male,I prefer not to say
India,Bachelor's degree,A non-computer-focused engineering discipline,Never,20 to 99 employees,"Privately-held limited company, not in startup mode",Less than a year,Mobile developer,,
Germany,Master's degree,Computer science or software engineering,All or almost all the time (I'm full-time remote),100 to 499 employees,Publicly-traded corporation,17 to 18 years,Other,Male,White or of European descent
Romania,Master's degree,Computer science or software engineering,A few days each month,100 to 499 employees,"Privately-held limited company, not in startup mode",9 to 10 years,Web developer,Male,White or of European descent
Romania,Master's degree,A business discipline,Never,Fewer than 10 employees,I don't know,9 to 10 years,Mobile developer,Female,White or of European descent
Finland,Master's degree,"Information technology, networking, or system administration",A few days each month,"5,000 to 9,999 employees",Government agency or public school/university,5 to 6 years,Web developer,Male,White or of European descent
Czech Republic,Master's degree,A natural science,Never,100 to 499 employees,"Privately-held limited company, not in startup mode",9 to 10 years,Mobile developer; Embedded applications/devices developer; Developer with a statistics or mathematics background; Desktop applications developer,Male,White or of European descent
India,Bachelor's degree,Computer science or software engineering,A few days each month,10 to 19 employees,"Privately-held limited company, not in startup mode",2 to 3 years,Mobile developer; Data scientist; Desktop applications developer,Male,South Asian
Poland,Bachelor's degree,Computer science or software engineering,A few days each month,100 to 499 employees,"Privately-held limited company, not in startup mode",1 to 2 years,Web developer,Male,White or of European descent
Sweden,Bachelor's degree,Computer science or software engineering,A few days each month,10 to 19 employees,I don't know,10 to 11 years,Web developer; Desktop applications developer,Male,White or of European descent
Japan,Professional degree,Computer programming or Web development,Never,,,,Web developer,Male,White or of European descent
Pakistan,Bachelor's degree,Computer science or software engineering,A few days each month,20 to 99 employees,"Privately-held limited company, not in startup mode",2 to 3 years,Web developer; Mobile developer; Developer with a statistics or mathematics background; Desktop applications developer; Database administrator,Male,Middle Eastern
India,Bachelor's degree,"Information technology, networking, or system administration",It's complicated,"1,000 to 4,999 employees","Privately-held limited company, not in startup mode",4 to 5 years,Web developer,Male,South Asian
Sweden,Master's degree,Computer science or software engineering,"Less than half the time, but at least one day each week",100 to 499 employees,"Privately-held limited company, not in startup mode",20 or more years,Web developer; DevOps specialist,Male,White or of European descent
United Kingdom,Bachelor's degree,A non-computer-focused engineering discipline,Never,20 to 99 employees,"Privately-held limited company, not in startup mode",3 to 4 years,Web developer; Desktop applications developer,Male,White or of European descent
Russian Federation,Bachelor's degree,Computer engineering or electrical/electronics engineering,"More than half, but not all, the time","1,000 to 4,999 employees","Privately-held limited company, not in startup mode",4 to 5 years,Web developer; Machine learning specialist; Data scientist,Male,White or of European descent
Croatia,Bachelor's degree,Computer programming or Web development,Never,10 to 19 employees,Publicly-traded corporation,1 to 2 years,Web developer,Male,White or of European descent
Russian Federation,Some college/university study without earning a bachelor's degree,Computer science or software engineering,Never,"10,000 or more employees","Privately-held limited company, not in startup mode",2 to 3 years,Web developer,,
Netherlands,Master's degree,A humanities discipline,Never,20 to 99 employees,I don't know,Less than a year,Other,Female,White or of European descent
Russian Federation,Bachelor's degree,Computer engineering or electrical/electronics engineering,Never,100 to 499 employees,"Privately-held limited company, not in startup mode",11 to 12 years,Web developer; Desktop applications developer,Male,White or of European descent
Italy,Some college/university study without earning a bachelor's degree,Computer science or software engineering,It's complicated,Fewer than 10 employees,"Sole proprietorship or partnership, not in startup mode",2 to 3 years,Web developer; Embedded applications/devices developer; Desktop applications developer; Database administrator,Male,White or of European descent
India,Bachelor's degree,Computer science or software engineering,A few days each month,500 to 999 employees,"Privately-held limited company, not in startup mode",6 to 7 years,Web developer,Male,East Asian
United Kingdom,Bachelor's degree,Computer programming or Web development,All or almost all the time (I'm full-time remote),"10,000 or more employees",Publicly-traded corporation,5 to 6 years,Web developer; DevOps specialist,Male,White or of European descent
United Kingdom,Master's degree,Mathematics or statistics,A few days each month,100 to 499 employees,"Privately-held limited company, not in startup mode",20 or more years,Web developer; Developer with a statistics or mathematics background; Desktop applications developer,Male,White or of European descent
Brazil,Master's degree,Computer science or software engineering,Never,100 to 499 employees,"Privately-held limited company, not in startup mode",6 to 7 years,Web developer,Male,Black or of African descent; Hispanic or Latino/Latina; White or of European descent
Australia,Bachelor's degree,Computer programming or Web development,A few days each month,10 to 19 employees,"Sole proprietorship or partnership, not in startup mode",12 to 13 years,Web developer,Male,White or of European descent
Russian Federation,Doctoral degree,Computer science or software engineering,Never,100 to 499 employees,"Privately-held limited company, not in startup mode",8 to 9 years,Web developer,Male,White or of European descent
Greece,Master's degree,A non-computer-focused engineering discipline,A few days each month,"10,000 or more employees",Publicly-traded corporation,15 to 16 years,Web developer; Machine learning specialist; Developer with a statistics or mathematics background; Data scientist,Male,White or of European descent
Russian Federation,Bachelor's degree,Mathematics or statistics,"More than half, but not all, the time",Fewer than 10 employees,Pre-series A startup,11 to 12 years,Web developer; Mobile developer,Male,White or of European descent
United States,Some college/university study without earning a bachelor's degree,Computer science or software engineering,"More than half, but not all, the time",100 to 499 employees,I don't know,20 or more years,Web developer; Desktop applications developer,Male,Hispanic or Latino/Latina
Brazil,Some college/university study without earning a bachelor's degree,Computer science or software engineering,"Less than half the time, but at least one day each week",20 to 99 employees,"Privately-held limited company, not in startup mode",1 to 2 years,Web developer; Mobile developer; Desktop applications developer; Systems administrator; Other,Male,White or of European descent
France,Bachelor's degree,Computer science or software engineering,"Less than half the time, but at least one day each week",Fewer than 10 employees,Venture-funded startup,2 to 3 years,Web developer; Desktop applications developer; Database administrator,Male,White or of European descent
United States,Some college/university study without earning a bachelor's degree,A social science,A few days each month,I don't know,I don't know,14 to 15 years,Web developer; Desktop applications developer,Male,White or of European descent
Pakistan,Master's degree,Computer science or software engineering,A few days each month,10 to 19 employees,Pre-series A startup,4 to 5 years,Web developer; Mobile developer,,
United Kingdom,I never completed any formal education,,Never,I prefer not to answer,I prefer not to answer,7 to 8 years,Web developer,Male,White or of European descent
South Africa,Some college/university study without earning a bachelor's degree,Computer science or software engineering,Never,20 to 99 employees,"Sole proprietorship or partnership, not in startup mode",9 to 10 years,Graphics programming; Desktop applications developer; Database administrator,Female,White or of European descent
Switzerland,Bachelor's degree,Computer science or software engineering,A few days each month,100 to 499 employees,I don't know,7 to 8 years,Web developer; Systems administrator; DevOps specialist,,
United Kingdom,Master's degree,Computer science or software engineering,It's complicated,Fewer than 10 employees,Pre-series A startup,1 to 2 years,Web developer; Mobile developer,Male,
Estonia,Bachelor's degree,Computer science or software engineering,"Less than half the time, but at least one day each week",20 to 99 employees,"Privately-held limited company, not in startup mode",6 to 7 years,Web developer,Male,White or of European descent
United Kingdom,Master's degree,Computer science or software engineering,A few days each month,"10,000 or more employees",Publicly-traded corporation,9 to 10 years,Developer with a statistics or mathematics background,,
United Kingdom,Some college/university study without earning a bachelor's degree,Computer programming or Web development,It's complicated,"1,000 to 4,999 employees","Privately-held limited company, not in startup mode",,Web developer,Male,White or of European descent
Ireland,Bachelor's degree,Computer engineering or electrical/electronics engineering,Never,10 to 19 employees,"Sole proprietorship or partnership, not in startup mode",17 to 18 years,Web developer,Female,White or of European descent
Austria,Some college/university study without earning a bachelor's degree,"Information technology, networking, or system administration",Never,"10,000 or more employees","Privately-held limited company, not in startup mode",1 to 2 years,Web developer; Desktop applications developer,Male,White or of European descent
Sweden,Professional degree,Computer programming or Web development,Never,Fewer than 10 employees,"Privately-held limited company, not in startup mode",1 to 2 years,Web developer,Male,White or of European descent
