FormalEducation,CompanySize,CompanyType,YearsCodedJob
Master's degree,100 to 499 employees,"Privately-held limited company, not in startup mode",10 to 11 years
Bachelor's degree,20 to 99 employees,Government agency or public school/university,15 to 16 years
Bachelor's degree,100 to 499 employees,I don't know,16 to 17 years
Secondary school,100 to 499 employees,"Privately-held limited company, not in startup mode",2 to 3 years
Bachelor's degree,"1,000 to 4,999 employees","Privately-held limited company, not in startup mode",5 to 6 years
Bachelor's degree,100 to 499 employees,"Privately-held limited company, not in startup mode",4 to 5 years
Secondary school,20 to 99 employees,"Privately-held limited company, not in startup mode",2 to 3 years
Master's degree,100 to 499 employees,"Privately-held limited company, not in startup mode",1 to 2 years
Bachelor's degree,"10,000 or more employees",Publicly-traded corporation,1 to 2 years
Bachelor's degree,20 to 99 employees,"Privately-held limited company, not in startup mode",2 to 3 years
Some college/university study without earning a bachelor's degree,20 to 99 employees,"Privately-held limited company, not in startup mode",2 to 3 years
Some college/university study without earning a bachelor's degree,"10,000 or more employees",Publicly-traded corporation,15 to 16 years
Master's degree,Fewer than 10 employees,"Privately-held limited company, not in startup mode",4 to 5 years
Master's degree,100 to 499 employees,Government agency or public school/university,5 to 6 years
Master's degree,20 to 99 employees,"Privately-held limited company, not in startup mode",7 to 8 years
Master's degree,20 to 99 employees,"Privately-held limited company, not in startup mode",8 to 9 years
Master's degree,Fewer than 10 employees,"Privately-held limited company, not in startup mode",8 to 9 years
Master's degree,20 to 99 employees,"Privately-held limited company, not in startup mode",6 to 7 years
Master's degree,Fewer than 10 employees,"Privately-held limited company, not in startup mode",3 to 4 years
Master's degree,"1,000 to 4,999 employees",Publicly-traded corporation,8 to 9 years
Master's degree,Fewer than 10 employees,"Privately-held limited company, not in startup mode",20 or more years
Master's degree,20 to 99 employees,I prefer not to answer,6 to 7 years
Professional degree,"10,000 or more employees",Publicly-traded corporation,8 to 9 years
Doctoral degree,"1,000 to 4,999 employees",Government agency or public school/university,5 to 6 years
Bachelor's degree,20 to 99 employees,"Sole proprietorship or partnership, not in startup mode",Less than a year
Some college/university study without earning a bachelor's degree,500 to 999 employees,Publicly-traded corporation,9 to 10 years
Master's degree,20 to 99 employees,"Privately-held limited company, not in startup mode",2 to 3 years
Master's degree,100 to 499 employees,"Privately-held limited company, not in startup mode",
Bachelor's degree,"10,000 or more employees",Publicly-traded corporation,2 to 3 years
Bachelor's degree,"1,000 to 4,999 employees","Privately-held limited company, not in startup mode",9 to 10 years
Master's degree,100 to 499 employees,"Privately-held limited company, not in startup mode",4 to 5 years
Bachelor's degree,"1,000 to 4,999 employees","Privately-held limited company, not in startup mode",1 to 2 years
Master's degree,I don't know,"Privately-held limited company, not in startup mode",1 to 2 years
Some college/university study without earning a bachelor's degree,100 to 499 employees,Publicly-traded corporation,5 to 6 years
Master's degree,"5,000 to 9,999 employees",Publicly-traded corporation,3 to 4 years
Doctoral degree,100 to 499 employees,Venture-funded startup,7 to 8 years
Master's degree,100 to 499 employees,"Privately-held limited company, not in startup mode",2 to 3 years
Secondary school,20 to 99 employees,"Privately-held limited company, not in startup mode",Less than a year
Bachelor's degree,"10,000 or more employees",Publicly-traded corporation,9 to 10 years
Bachelor's degree,20 to 99 employees,"Privately-held limited company, not in startup mode",3 to 4 years
Bachelor's degree,100 to 499 employees,"Privately-held limited company, not in startup mode",9 to 10 years
Bachelor's degree,100 to 499 employees,I prefer not to answer,1 to 2 years
Bachelor's degree,100 to 499 employees,"Privately-held limited company, not in startup mode",3 to 4 years
Bachelor's degree,20 to 99 employees,Venture-funded startup,
Some college/university study without earning a bachelor's degree,"5,000 to 9,999 employees",Publicly-traded corporation,20 or more years
Some college/university study without earning a bachelor's degree,20 to 99 employees,Publicly-traded corporation,4 to 5 years
Bachelor's degree,20 to 99 employees,"Privately-held limited company, not in startup mode",5 to 6 years
Bachelor's degree,"10,000 or more employees",Publicly-traded corporation,2 to 3 years
Bachelor's degree,100 to 499 employees,"Privately-held limited company, not in startup mode",1 to 2 years
Doctoral degree,"10,000 or more employees",State-owned company,6 to 7 years
Secondary school,Fewer than 10 employees,Pre-series A startup,2 to 3 years
Bachelor's degree,100 to 499 employees,"Privately-held limited company, not in startup mode",1 to 2 years
Bachelor's degree,10 to 19 employees,"Sole proprietorship or partnership, not in startup mode",4 to 5 years
Master's degree,20 to 99 employees,"Privately-held limited company, not in startup mode",7 to 8 years
Some college/university study without earning a bachelor's degree,"10,000 or more employees",Government agency or public school/university,20 or more years
Bachelor's degree,20 to 99 employees,Venture-funded startup,2 to 3 years
Some college/university study without earning a bachelor's degree,100 to 499 employees,"Privately-held limited company, not in startup mode",16 to 17 years
Master's degree,"1,000 to 4,999 employees","Privately-held limited company, not in startup mode",6 to 7 years
Bachelor's degree,Fewer than 10 employees,"Sole proprietorship or partnership, not in startup mode",10 to 11 years
Master's degree,Fewer than 10 employees,"Sole proprietorship or partnership, not in startup mode",9 to 10 years
Bachelor's degree,20 to 99 employees,"Privately-held limited company, not in startup mode",1 to 2 years
Master's degree,20 to 99 employees,"Privately-held limited company, not in startup mode",4 to 5 years
Bachelor's degree,"10,000 or more employees",Publicly-traded corporation,5 to 6 years
Master's degree,"1,000 to 4,999 employees","Privately-held limited company, not in startup mode",7 to 8 years
Bachelor's degree,"5,000 to 9,999 employees","Privately-held limited company, not in startup mode",2 to 3 years
Bachelor's degree,"10,000 or more employees","Privately-held limited company, not in startup mode",2 to 3 years
Some college/university study without earning a bachelor's degree,20 to 99 employees,Venture-funded startup,5 to 6 years
Bachelor's degree,"1,000 to 4,999 employees","Privately-held limited company, not in startup mode",11 to 12 years
Bachelor's degree,20 to 99 employees,"Privately-held limited company, not in startup mode",10 to 11 years
Master's degree,20 to 99 employees,"Privately-held limited company, not in startup mode",1 to 2 years
Master's degree,"10,000 or more employees",I don't know,5 to 6 years
Master's degree,"1,000 to 4,999 employees","Privately-held limited company, not in startup mode",Less than a year
Bachelor's degree,Fewer than 10 employees,"Privately-held limited company, not in startup mode",5 to 6 years
Bachelor's degree,"10,000 or more employees",Publicly-traded corporation,8 to 9 years
Secondary school,"10,000 or more employees",Publicly-traded corporation,13 to 14 years
Bachelor's degree,Fewer than 10 employees,"Privately-held limited company, not in startup mode",4 to 5 years
Bachelor's degree,"1,000 to 4,999 employees",Publicly-traded corporation,7 to 8 years
Master's degree,Fewer than 10 employees,Venture-funded startup,1 to 2 years
Bachelor's degree,"10,000 or more employees","Privately-held limited company, not in startup mode",5 to 6 years
Master's degree,20 to 99 employees,I don't know,5 to 6 years
Some college/university study without earning a bachelor's degree,100 to 499 employees,Publicly-traded corporation,1 to 2 years
Some college/university study without earning a bachelor's degree,Fewer than 10 employees,"Privately-held limited company, not in startup mode",20 or more years
Bachelor's degree,100 to 499 employees,"Privately-held limited company, not in startup mode",5 to 6 years
Master's degree,500 to 999 employees,I don't know,2 to 3 years
Some college/university study without earning a bachelor's degree,10 to 19 employees,"Privately-held limited company, not in startup mode",14 to 15 years
Secondary school,100 to 499 employees,State-owned company,14 to 15 years
Secondary school,100 to 499 employees,"Privately-held limited company, not in startup mode",6 to 7 years
Master's degree,100 to 499 employees,"Sole proprietorship or partnership, not in startup mode",20 or more years
Some college/university study without earning a bachelor's degree,20 to 99 employees,"Privately-held limited company, not in startup mode",5 to 6 years
Master's degree,"1,000 to 4,999 employees",Something else,2 to 3 years
Master's degree,20 to 99 employees,"Privately-held limited company, not in startup mode",5 to 6 years
Master's degree,20 to 99 employees,I don't know,16 to 17 years
Secondary school,Fewer than 10 employees,"Privately-held limited company, not in startup mode",1 to 2 years
Secondary school,10 to 19 employees,"Privately-held limited company, not in startup mode",18 to 19 years
Master's degree,10 to 19 employees,"Privately-held limited company, not in startup mode",4 to 5 years
Some college/university study without earning a bachelor's degree,100 to 499 employees,Government agency or public school/university,Less than a year
Bachelor's degree,I don't know,"Privately-held limited company, not in startup mode",3 to 4 years
Some college/university study without earning a bachelor's degree,10 to 19 employees,I don't know,2 to 3 years
Master's degree,20 to 99 employees,"Privately-held limited company, not in startup mode",13 to 14 years
Master's degree,"1,000 to 4,999 employees","Privately-held limited company, not in startup mode",10 to 11 years
Master's degree,100 to 499 employees,"Privately-held limited company, not in startup mode",12 to 13 years
Bachelor's degree,20 to 99 employees,I don't know,1 to 2 years
Master's degree,20 to 99 employees,"Privately-held limited company, not in startup mode",17 to 18 years
Some college/university study without earning a bachelor's degree,20 to 99 employees,"Sole proprietorship or partnership, not in startup mode",3 to 4 years
Bachelor's degree,"10,000 or more employees",I don't know,Less than a year
Master's degree,20 to 99 employees,Pre-series A startup,Less than a year
Bachelor's degree,100 to 499 employees,"Privately-held limited company, not in startup mode",2 to 3 years
Bachelor's degree,"10,000 or more employees",Publicly-traded corporation,10 to 11 years
Secondary school,I prefer not to answer,I prefer not to answer,2 to 3 years
Doctoral degree,20 to 99 employees,I don't know,8 to 9 years
Bachelor's degree,"1,000 to 4,999 employees",State-owned company,9 to 10 years
Secondary school,"1,000 to 4,999 employees",Publicly-traded corporation,10 to 11 years
Some college/university study without earning a bachelor's degree,10 to 19 employees,"Sole proprietorship or partnership, not in startup mode",3 to 4 years
Master's degree,"1,000 to 4,999 employees","Privately-held limited company, not in startup mode",9 to 10 years
Master's degree,500 to 999 employees,Venture-funded startup,7 to 8 years
Bachelor's degree,100 to 499 employees,"Privately-held limited company, not in startup mode",4 to 5 years
Some college/university study without earning a bachelor's degree,Fewer than 10 employees,"Privately-held limited company, not in startup mode",13 to 14 years
Bachelor's degree,10 to 19 employees,Pre-series A startup,20 or more years
Bachelor's degree,500 to 999 employees,"Privately-held limited company, not in startup mode",20 or more years
Some college/university study without earning a bachelor's degree,100 to 499 employees,"Privately-held limited company, not in startup mode",4 to 5 years
Master's degree,"1,000 to 4,999 employees",State-owned company,4 to 5 years
Bachelor's degree,100 to 499 employees,"Privately-held limited company, not in startup mode",1 to 2 years
Bachelor's degree,Fewer than 10 employees,"Privately-held limited company, not in startup mode",3 to 4 years
Bachelor's degree,20 to 99 employees,"Privately-held limited company, not in startup mode",1 to 2 years
Master's degree,20 to 99 employees,"Privately-held limited company, not in startup mode",4 to 5 years
Master's degree,"1,000 to 4,999 employees",State-owned company,6 to 7 years
Secondary school,Fewer than 10 employees,"Privately-held limited company, not in startup mode",13 to 14 years
Master's degree,"10,000 or more employees",Publicly-traded corporation,2 to 3 years
Some college/university study without earning a bachelor's degree,100 to 499 employees,"Privately-held limited company, not in startup mode",9 to 10 years
Bachelor's degree,20 to 99 employees,"Privately-held limited company, not in startup mode",5 to 6 years
Some college/university study without earning a bachelor's degree,100 to 499 employees,"Privately-held limited company, not in startup mode",11 to 12 years
Some college/university study without earning a bachelor's degree,"1,000 to 4,999 employees","Privately-held limited company, not in startup mode",18 to 19 years
Master's degree,500 to 999 employees,"Privately-held limited company, not in startup mode",1 to 2 years
Bachelor's degree,Fewer than 10 employees,I prefer not to answer,13 to 14 years
Some college/university study without earning a bachelor's degree,10 to 19 employees,"Privately-held limited company, not in startup mode",2 to 3 years
Bachelor's degree,100 to 499 employees,"Sole proprietorship or partnership, not in startup mode",4 to 5 years
Some college/university study without earning a bachelor's degree,20 to 99 employees,"Privately-held limited company, not in startup mode",5 to 6 years
Bachelor's degree,"10,000 or more employees",I don't know,Less than a year
Some college/university study without earning a bachelor's degree,100 to 499 employees,I don't know,8 to 9 years
Bachelor's degree,100 to 499 employees,Publicly-traded corporation,4 to 5 years
Some college/university study without earning a bachelor's degree,20 to 99 employees,Pre-series A startup,1 to 2 years
Bachelor's degree,Fewer than 10 employees,Pre-series A startup,16 to 17 years
I prefer not to answer,Fewer than 10 employees,"Privately-held limited company, not in startup mode",9 to 10 years
Some college/university study without earning a bachelor's degree,20 to 99 employees,"Privately-held limited company, not in startup mode",14 to 15 years
I never completed any formal education,20 to 99 employees,I don't know,3 to 4 years
Bachelor's degree,100 to 499 employees,I don't know,12 to 13 years
Bachelor's degree,"10,000 or more employees","Privately-held limited company, not in startup mode",12 to 13 years
Bachelor's degree,20 to 99 employees,"Sole proprietorship or partnership, not in startup mode",10 to 11 years
Bachelor's degree,"10,000 or more employees",I don't know,2 to 3 years
Secondary school,20 to 99 employees,"Sole proprietorship or partnership, not in startup mode",3 to 4 years
Master's degree,"5,000 to 9,999 employees",Non-profit/non-governmental organization or private school/university,5 to 6 years
Some college/university study without earning a bachelor's degree,100 to 499 employees,"Privately-held limited company, not in startup mode",7 to 8 years
Bachelor's degree,"10,000 or more employees","Privately-held limited company, not in startup mode",10 to 11 years
Bachelor's degree,Fewer than 10 employees,"Privately-held limited company, not in startup mode",10 to 11 years
Secondary school,10 to 19 employees,"Privately-held limited company, not in startup mode",1 to 2 years
Bachelor's degree,"10,000 or more employees",I don't know,1 to 2 years
Master's degree,100 to 499 employees,"Privately-held limited company, not in startup mode",9 to 10 years
Master's degree,"10,000 or more employees",Publicly-traded corporation,8 to 9 years
I never completed any formal education,Fewer than 10 employees,"Privately-held limited company, not in startup mode",Less than a year
Bachelor's degree,"1,000 to 4,999 employees",Publicly-traded corporation,9 to 10 years
Bachelor's degree,"1,000 to 4,999 employees",Publicly-traded corporation,14 to 15 years
Master's degree,"10,000 or more employees","Privately-held limited company, not in startup mode",4 to 5 years
Bachelor's degree,500 to 999 employees,"Privately-held limited company, not in startup mode",2 to 3 years
Master's degree,"1,000 to 4,999 employees","Privately-held limited company, not in startup mode",9 to 10 years
Secondary school,100 to 499 employees,"Privately-held limited company, not in startup mode",1 to 2 years
Master's degree,100 to 499 employees,"Privately-held limited company, not in startup mode",10 to 11 years
Bachelor's degree,10 to 19 employees,"Privately-held limited company, not in startup mode",3 to 4 years
Some college/university study without earning a bachelor's degree,"5,000 to 9,999 employees",Publicly-traded corporation,11 to 12 years
Some college/university study without earning a bachelor's degree,Fewer than 10 employees,"Sole proprietorship or partnership, not in startup mode",7 to 8 years
Some college/university study without earning a bachelor's degree,"1,000 to 4,999 employees","Privately-held limited company, not in startup mode",4 to 5 years
Bachelor's degree,I prefer not to answer,Publicly-traded corporation,1 to 2 years
Bachelor's degree,10 to 19 employees,Venture-funded startup,5 to 6 years
Bachelor's degree,10 to 19 employees,Venture-funded startup,5 to 6 years
Bachelor's degree,10 to 19 employees,I don't know,2 to 3 years
Secondary school,Fewer than 10 employees,Venture-funded startup,5 to 6 years
Bachelor's degree,"1,000 to 4,999 employees",Publicly-traded corporation,15 to 16 years
Doctoral degree,"1,000 to 4,999 employees","Privately-held limited company, not in startup mode",8 to 9 years
Secondary school,20 to 99 employees,"Privately-held limited company, not in startup mode",6 to 7 years
Master's degree,10 to 19 employees,Venture-funded startup,8 to 9 years
I never completed any formal education,"1,000 to 4,999 employees",Venture-funded startup,5 to 6 years
Master's degree,I prefer not to answer,I prefer not to answer,2 to 3 years
Bachelor's degree,20 to 99 employees,"Privately-held limited company, not in startup mode",4 to 5 years
Bachelor's degree,20 to 99 employees,"Privately-held limited company, not in startup mode",5 to 6 years
Master's degree,100 to 499 employees,"Privately-held limited company, not in startup mode",2 to 3 years
Bachelor's degree,"10,000 or more employees",Government agency or public school/university,3 to 4 years
Bachelor's degree,100 to 499 employees,"Privately-held limited company, not in startup mode",7 to 8 years
Bachelor's degree,"5,000 to 9,999 employees","Privately-held limited company, not in startup mode",5 to 6 years
Some college/university study without earning a bachelor's degree,20 to 99 employees,"Privately-held limited company, not in startup mode",20 or more years
Master's degree,100 to 499 employees,Venture-funded startup,14 to 15 years
Master's degree,20 to 99 employees,"Sole proprietorship or partnership, not in startup mode",2 to 3 years
Some college/university study without earning a bachelor's degree,20 to 99 employees,"Privately-held limited company, not in startup mode",4 to 5 years
Bachelor's degree,Fewer than 10 employees,"Sole proprietorship or partnership, not in startup mode",2 to 3 years
Bachelor's degree,20 to 99 employees,"Privately-held limited company, not in startup mode",10 to 11 years
Secondary school,100 to 499 employees,Publicly-traded corporation,14 to 15 years
Professional degree,20 to 99 employees,"Privately-held limited company, not in startup mode",9 to 10 years
Bachelor's degree,"1,000 to 4,999 employees",Government agency or public school/university,Less than a year
Bachelor's degree,"1,000 to 4,999 employees",I prefer not to answer,4 to 5 years
Doctoral degree,100 to 499 employees,"Privately-held limited company, not in startup mode",6 to 7 years
Bachelor's degree,10 to 19 employees,I don't know,3 to 4 years
Some college/university study without earning a bachelor's degree,Fewer than 10 employees,Pre-series A startup,6 to 7 years
Master's degree,100 to 499 employees,Publicly-traded corporation,10 to 11 years
Bachelor's degree,10 to 19 employees,"Privately-held limited company, not in startup mode",2 to 3 years
Bachelor's degree,"10,000 or more employees",I don't know,Less than a year
Bachelor's degree,Fewer than 10 employees,"Privately-held limited company, not in startup mode",5 to 6 years
Some college/university study without earning a bachelor's degree,100 to 499 employees,"Privately-held limited company, not in startup mode",20 or more years
Some college/university study without earning a bachelor's degree,"10,000 or more employees","Privately-held limited company, not in startup mode",20 or more years
Some college/university study without earning a bachelor's degree,500 to 999 employees,"Privately-held limited company, not in startup mode",5 to 6 years
Bachelor's degree,10 to 19 employees,Pre-series A startup,2 to 3 years
Bachelor's degree,10 to 19 employees,"Privately-held limited company, not in startup mode",20 or more years
Master's degree,Fewer than 10 employees,Pre-series A startup,3 to 4 years
Bachelor's degree,100 to 499 employees,"Privately-held limited company, not in startup mode",Less than a year
Bachelor's degree,"10,000 or more employees",Publicly-traded corporation,5 to 6 years
Bachelor's degree,500 to 999 employees,State-owned company,4 to 5 years
Bachelor's degree,100 to 499 employees,"Sole proprietorship or partnership, not in startup mode",1 to 2 years
Master's degree,100 to 499 employees,"Privately-held limited company, not in startup mode",5 to 6 years
I prefer not to answer,20 to 99 employees,"Privately-held limited company, not in startup mode",8 to 9 years
Bachelor's degree,100 to 499 employees,Venture-funded startup,4 to 5 years
Secondary school,10 to 19 employees,"Sole proprietorship or partnership, not in startup mode",Less than a year
Master's degree,100 to 499 employees,"Privately-held limited company, not in startup mode",19 to 20 years
Some college/university study without earning a bachelor's degree,20 to 99 employees,"Privately-held limited company, not in startup mode",14 to 15 years
Master's degree,20 to 99 employees,"Privately-held limited company, not in startup mode",3 to 4 years
Some college/university study without earning a bachelor's degree,20 to 99 employees,"Privately-held limited company, not in startup mode",4 to 5 years
Some college/university study without earning a bachelor's degree,"10,000 or more employees","Privately-held limited company, not in startup mode",2 to 3 years
Bachelor's degree,Fewer than 10 employees,"Sole proprietorship or partnership, not in startup mode",19 to 20 years
Doctoral degree,"5,000 to 9,999 employees",I prefer not to answer,19 to 20 years
Secondary school,Fewer than 10 employees,I don't know,19 to 20 years
Bachelor's degree,"1,000 to 4,999 employees",Government agency or public school/university,14 to 15 years
Bachelor's degree,"1,000 to 4,999 employees","Privately-held limited company, not in startup mode",6 to 7 years
Some college/university study without earning a bachelor's degree,Fewer than 10 employees,"Sole proprietorship or partnership, not in startup mode",Less than a year
Bachelor's degree,"5,000 to 9,999 employees",,
Master's degree,100 to 499 employees,"Privately-held limited company, not in startup mode",2 to 3 years
Master's degree,"1,000 to 4,999 employees",Publicly-traded corporation,6 to 7 years
Some college/university study without earning a bachelor's degree,100 to 499 employees,"Privately-held limited company, not in startup mode",9 to 10 years
Bachelor's degree,"10,000 or more employees","Privately-held limited company, not in startup mode",1 to 2 years
Professional degree,20 to 99 employees,"Privately-held limited company, not in startup mode",9 to 10 years
Bachelor's degree,Fewer than 10 employees,"Sole proprietorship or partnership, not in startup mode",6 to 7 years
Master's degree,100 to 499 employees,"Privately-held limited company, not in startup mode",4 to 5 years
Bachelor's degree,20 to 99 employees,"Privately-held limited company, not in startup mode",2 to 3 years
Bachelor's degree,20 to 99 employees,"Privately-held limited company, not in startup mode",11 to 12 years
Master's degree,"10,000 or more employees",Publicly-traded corporation,6 to 7 years
Master's degree,20 to 99 employees,Venture-funded startup,3 to 4 years
Master's degree,10 to 19 employees,"Privately-held limited company, not in startup mode",10 to 11 years
Some college/university study without earning a bachelor's degree,20 to 99 employees,"Privately-held limited company, not in startup mode",18 to 19 years
Bachelor's degree,20 to 99 employees,"Sole proprietorship or partnership, not in startup mode",2 to 3 years
Bachelor's degree,20 to 99 employees,"Privately-held limited company, not in startup mode",3 to 4 years
Master's degree,"10,000 or more employees",I prefer not to answer,2 to 3 years
Bachelor's degree,"10,000 or more employees",I don't know,15 to 16 years
Bachelor's degree,100 to 499 employees,"Privately-held limited company, not in startup mode",10 to 11 years
Some college/university study without earning a bachelor's degree,"1,000 to 4,999 employees","Privately-held limited company, not in startup mode",7 to 8 years
Bachelor's degree,20 to 99 employees,I don't know,2 to 3 years
Master's degree,100 to 499 employees,"Privately-held limited company, not in startup mode",3 to 4 years
Master's degree,100 to 499 employees,"Sole proprietorship or partnership, not in startup mode",3 to 4 years
Doctoral degree,Fewer than 10 employees,"Privately-held limited company, not in startup mode",7 to 8 years
Bachelor's degree,"5,000 to 9,999 employees",Publicly-traded corporation,4 to 5 years
Master's degree,20 to 99 employees,"Privately-held limited company, not in startup mode",5 to 6 years
Master's degree,100 to 499 employees,"Privately-held limited company, not in startup mode",11 to 12 years
Bachelor's degree,500 to 999 employees,"Privately-held limited company, not in startup mode",3 to 4 years
Master's degree,Fewer than 10 employees,"Privately-held limited company, not in startup mode",20 or more years
Bachelor's degree,20 to 99 employees,"Sole proprietorship or partnership, not in startup mode",8 to 9 years
Secondary school,"1,000 to 4,999 employees","Privately-held limited company, not in startup mode",4 to 5 years
Bachelor's degree,20 to 99 employees,Venture-funded startup,2 to 3 years
Master's degree,20 to 99 employees,"Privately-held limited company, not in startup mode",10 to 11 years
Master's degree,100 to 499 employees,"Privately-held limited company, not in startup mode",10 to 11 years
Secondary school,100 to 499 employees,"Privately-held limited company, not in startup mode",11 to 12 years
Some college/university study without earning a bachelor's degree,"5,000 to 9,999 employees",Publicly-traded corporation,4 to 5 years
Some college/university study without earning a bachelor's degree,100 to 499 employees,"Privately-held limited company, not in startup mode",3 to 4 years
Master's degree,20 to 99 employees,"Sole proprietorship or partnership, not in startup mode",2 to 3 years
Bachelor's degree,100 to 499 employees,Venture-funded startup,Less than a year
Master's degree,10 to 19 employees,"Privately-held limited company, not in startup mode",10 to 11 years
Bachelor's degree,Fewer than 10 employees,"Sole proprietorship or partnership, not in startup mode",3 to 4 years
Master's degree,100 to 499 employees,Publicly-traded corporation,3 to 4 years
Bachelor's degree,"10,000 or more employees",I don't know,2 to 3 years
Master's degree,"10,000 or more employees",Publicly-traded corporation,8 to 9 years
Bachelor's degree,I don't know,I don't know,6 to 7 years
Bachelor's degree,20 to 99 employees,Publicly-traded corporation,2 to 3 years
Master's degree,Fewer than 10 employees,"Privately-held limited company, not in startup mode",17 to 18 years
Master's degree,"10,000 or more employees",Publicly-traded corporation,7 to 8 years
Bachelor's degree,100 to 499 employees,"Privately-held limited company, not in startup mode",5 to 6 years
Some college/university study without earning a bachelor's degree,20 to 99 employees,I don't know,1 to 2 years
Master's degree,20 to 99 employees,"Privately-held limited company, not in startup mode",7 to 8 years
Primary/elementary school,100 to 499 employees,Publicly-traded corporation,20 or more years
Bachelor's degree,10 to 19 employees,"Privately-held limited company, not in startup mode",2 to 3 years
Some college/university study without earning a bachelor's degree,"10,000 or more employees",Government agency or public school/university,3 to 4 years
Master's degree,"5,000 to 9,999 employees",Publicly-traded corporation,5 to 6 years
Some college/university study without earning a bachelor's degree,20 to 99 employees,"Privately-held limited company, not in startup mode",4 to 5 years
Master's degree,"1,000 to 4,999 employees",Publicly-traded corporation,2 to 3 years
Bachelor's degree,Fewer than 10 employees,"Sole proprietorship or partnership, not in startup mode",5 to 6 years
Bachelor's degree,100 to 499 employees,"Sole proprietorship or partnership, not in startup mode",4 to 5 years
Bachelor's degree,20 to 99 employees,"Privately-held limited company, not in startup mode",3 to 4 years
Master's degree,20 to 99 employees,Venture-funded startup,3 to 4 years
Master's degree,Fewer than 10 employees,"Privately-held limited company, not in startup mode",16 to 17 years
Primary/elementary school,20 to 99 employees,Government agency or public school/university,6 to 7 years
Some college/university study without earning a bachelor's degree,10 to 19 employees,"Privately-held limited company, not in startup mode",7 to 8 years
Bachelor's degree,"10,000 or more employees",Publicly-traded corporation,14 to 15 years
Bachelor's degree,100 to 499 employees,"Privately-held limited company, not in startup mode",11 to 12 years
Bachelor's degree,10 to 19 employees,"Privately-held limited company, not in startup mode",10 to 11 years
Bachelor's degree,"10,000 or more employees",Government agency or public school/university,4 to 5 years
Bachelor's degree,500 to 999 employees,Venture-funded startup,1 to 2 years
Secondary school,20 to 99 employees,I don't know,9 to 10 years
Master's degree,100 to 499 employees,"Sole proprietorship or partnership, not in startup mode",7 to 8 years
Master's degree,100 to 499 employees,"Privately-held limited company, not in startup mode",20 or more years
Some college/university study without earning a bachelor's degree,100 to 499 employees,"Sole proprietorship or partnership, not in startup mode",18 to 19 years
Some college/university study without earning a bachelor's degree,"5,000 to 9,999 employees",Government agency or public school/university,2 to 3 years
Bachelor's degree,100 to 499 employees,"Privately-held limited company, not in startup mode",3 to 4 years
Bachelor's degree,10 to 19 employees,Venture-funded startup,15 to 16 years
Bachelor's degree,10 to 19 employees,"Privately-held limited company, not in startup mode",6 to 7 years
Bachelor's degree,20 to 99 employees,Venture-funded startup,20 or more years
Bachelor's degree,I don't know,Publicly-traded corporation,20 or more years
Bachelor's degree,"1,000 to 4,999 employees",Government agency or public school/university,5 to 6 years
Master's degree,"10,000 or more employees",Publicly-traded corporation,8 to 9 years
Bachelor's degree,"5,000 to 9,999 employees",Government agency or public school/university,10 to 11 years
Bachelor's degree,100 to 499 employees,"Privately-held limited company, not in startup mode",19 to 20 years
Bachelor's degree,20 to 99 employees,I don't know,Less than a year
Doctoral degree,20 to 99 employees,Venture-funded startup,7 to 8 years
Master's degree,20 to 99 employees,Something else,3 to 4 years
Master's degree,10 to 19 employees,"Privately-held limited company, not in startup mode",12 to 13 years
Bachelor's degree,"1,000 to 4,999 employees",Publicly-traded corporation,9 to 10 years
Master's degree,"5,000 to 9,999 employees",Non-profit/non-governmental organization or private school/university,20 or more years
Doctoral degree,20 to 99 employees,I don't know,3 to 4 years
Master's degree,100 to 499 employees,"Privately-held limited company, not in startup mode",13 to 14 years
Some college/university study without earning a bachelor's degree,Fewer than 10 employees,"Privately-held limited company, not in startup mode",
Bachelor's degree,20 to 99 employees,"Privately-held limited company, not in startup mode",7 to 8 years
Bachelor's degree,"10,000 or more employees",Publicly-traded corporation,3 to 4 years
Master's degree,100 to 499 employees,"Privately-held limited company, not in startup mode",10 to 11 years
Some college/university study without earning a bachelor's degree,"10,000 or more employees",Government agency or public school/university,16 to 17 years
Some college/university study without earning a bachelor's degree,Fewer than 10 employees,Venture-funded startup,1 to 2 years
Doctoral degree,"10,000 or more employees",Publicly-traded corporation,2 to 3 years
Master's degree,Fewer than 10 employees,"Privately-held limited company, not in startup mode",1 to 2 years
Master's degree,100 to 499 employees,"Privately-held limited company, not in startup mode",10 to 11 years
Doctoral degree,20 to 99 employees,"Privately-held limited company, not in startup mode",3 to 4 years
Some college/university study without earning a bachelor's degree,500 to 999 employees,"Privately-held limited company, not in startup mode",4 to 5 years
Secondary school,20 to 99 employees,"Privately-held limited company, not in startup mode",1 to 2 years
Bachelor's degree,500 to 999 employees,Publicly-traded corporation,20 or more years
Master's degree,500 to 999 employees,Publicly-traded corporation,10 to 11 years
Bachelor's degree,20 to 99 employees,"Privately-held limited company, not in startup mode",4 to 5 years
Bachelor's degree,20 to 99 employees,"Privately-held limited company, not in startup mode",1 to 2 years
Bachelor's degree,"1,000 to 4,999 employees",Publicly-traded corporation,1 to 2 years
Bachelor's degree,Fewer than 10 employees,Government agency or public school/university,12 to 13 years
Bachelor's degree,"10,000 or more employees","Privately-held limited company, not in startup mode",
Bachelor's degree,100 to 499 employees,"Sole proprietorship or partnership, not in startup mode",10 to 11 years
